Country Name,City Name,Overall AQI,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Volatile_Organic_Compounds ,Sulfur_Dioxide,Emissions,Overall AQI Level
Thailand,Pak Chong,45,1,Good,26,Good,0,GO,45,Good,125.9964478,-9.621953199,Good,Good
Nigeria,Bida,101,3,Good,22,Good,1,GO,101,Unhealthy for Sensitive Groups,262.1643129,9.904291603,Good,Unhealthy for Sensitive Groups
Iran (Islamic Republic of),Naqadeh,83,1,Good,41,Good,0,GO,83,Moderate,198.3447593,7.208482788,Good,Moderate
Netherlands,Grave,37,0,Good,32,Good,2,GO,37,Good,100.8126343,3.409094404,Good,Good
Brazil,Canoinhas,29,0,Good,12,Good,1,GO,29,Good,68.45022008,3.205872524,Good,Good
Italy,Barga,40,1,Good,40,Good,1,GO,37,Good,92.18785705,9.416512656,Good,Good
Greece,Kallithea,80,1,Good,42,Good,5,GO,80,Moderate,191.161712,16.32030312,Good,Moderate
Romania,Lipova,69,1,Good,39,Good,1,GO,69,Moderate,172.0377958,7.051258441,Good,Moderate
Germany,Nauen,31,0,Good,29,Good,1,GO,31,Good,82.10483458,0.934106619,Good,Good
Germany,Laupheim,63,1,Good,55,Moderate,0,GO,63,Moderate,170.8801405,2.477210389,Moderate,Moderate
India,Mahemdavad,158,1,Good,39,Good,0,GO,158,Unhealthy,411.4089598,3.756426092,Good,Unhealthy
Poland,Przeworsk,74,1,Good,39,Good,1,GO,74,Moderate,174.0410603,2.789565468,Good,Moderate
Belgium,Herent,53,1,Good,37,Good,1,GO,53,Moderate,145.3020172,5.820578555,Good,Moderate
,Anacortes,97,1,Good,25,Good,10,GO,97,Moderate,238.0744199,20.72411927,Good,Moderate
United Kingdom of Great Britain and Northern Ireland,Great Sankey,32,1,Good,20,Good,6,GO,32,Good,72.14400886,18.71834437,Good,Good
India,Mankachar,84,3,Good,26,Good,5,GO,84,Moderate,217.4822551,11.27135784,Good,Moderate
United States of America,Albemarle,77,2,Good,34,Good,6,GO,77,Moderate,196.8592224,17.98820007,Good,Moderate
Germany,Harsum,40,0,Good,28,Good,2,GO,40,Good,119.9260995,-1.181674851,Good,Good
India,Bodhan,112,1,Good,29,Good,0,GO,112,Unhealthy for Sensitive Groups,288.2800972,1.346528939,Good,Unhealthy for Sensitive Groups
Philippines,Pacol,34,1,Good,18,Good,0,GO,34,Good,86.30283315,1.95270761,Good,Good
United Republic of Tanzania,Lindi,35,0,Good,22,Good,0,GO,35,Good,101.1018264,2.562836276,Good,Good
Sweden,Falkoping,45,1,Good,45,Good,0,GO,19,Good,54.62326141,-1.662321933,Good,Good
France,Firminy,145,1,Good,,Good,1,,145,Unhealthy for Sensitive Groups,364.2434032,10.03546914,Good,Unhealthy for Sensitive Groups
Germany,Burglengenfeld,43,1,Good,35,Good,2,GO,43,Good,121.762154,9.935765645,Good,Good
United States of America,Lenexa,53,1,Good,34,Good,4,GO,53,Moderate,157.1691696,10.7368191,Good,Moderate
Italy,Torre Annunziata,58,1,Good,58,Moderate,1,GO,41,Good,105.7719826,-6.768217072,Moderate,Moderate
Japan,Komaki,126,3,Good,6,Good,23,GO,126,Unhealthy for Sensitive Groups,327.6386035,45.9983985,Good,Unhealthy for Sensitive Groups
Philippines,Botolan,70,0,Good,,Good,0,,70,Moderate,187.0314254,0.061240427,Good,Moderate
Germany,Stelle,43,1,Good,43,Good,0,,24,Good,57.14084437,-6.68822235,Good,Good
India,Baranagar,171,5,Good,101,Unhealthy for Sensitive Groups,6,GO,171,Unhealthy,427.5938777,14.95626886,Unhealthy for Sensitive Groups,Unhealthy
United States of America,Olivehurst,48,1,Good,33,Good,6,GO,48,Good,118.9086391,14.55380437,Good,Good
South Africa,Ermelo,52,1,Good,17,Good,5,GO,52,Moderate,137.0688253,11.80583698,Good,Moderate
India,Jaypur,157,1,Good,44,Good,0,GO,157,Unhealthy,398.8259767,4.797734672,Good,Unhealthy
Germany,Much,62,1,Good,28,Good,6,GO,62,Moderate,174.2389894,4.725816142,Good,Moderate
Germany,Pasewalk,34,0,Good,,Good,1,GO,32,Good,101.1478325,1.878659154,Good,Good
India,Koratla,174,2,Good,44,Good,4,GO,174,Unhealthy,426.6876705,7.226251898,Good,Unhealthy
United States of America,Kinston,58,1,Good,39,Good,3,GO,58,Moderate,165.2451718,-2.103870642,Good,Moderate
Spain,Torremolinos,42,1,Good,42,Good,0,GO,30,Good,83.59475798,3.448575116,Good,Good
China,Nanning,128,3,Good,128,Unhealthy for Sensitive Groups,2,GO,116,Unhealthy for Sensitive Groups,291.2449996,0.679136091,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Saudi Arabia,Abha,170,1,Good,74,Moderate,1,,170,Unhealthy,416.0977807,9.750548228,Moderate,Unhealthy
Japan,Noboribetsu,38,1,Good,,Good,4,GO,38,Good,109.3381043,8.889558793,Good,Good
Uzbekistan,Kuva,127,1,Good,100,Unhealthy for Sensitive Groups,2,GO,127,Unhealthy for Sensitive Groups,305.0929939,-6.664136773,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Guatemala,Cabrican,84,2,Good,8,Good,8,GO,84,Moderate,195.3671085,29.93234787,Good,Moderate
Egypt,Safaga,71,1,Good,71,Moderate,0,,68,Moderate,184.5538857,5.534318166,Moderate,Moderate
Pakistan,Bahawalpur,189,1001.368367,Good,126,Unhealthy for Sensitive Groups,0,GO,189,Unhealthy,467.2018815,4.767235086,Unhealthy for Sensitive Groups,Unhealthy
Côte d'Ivoire,Man,24,1,Good,18,Good,0,GO,24,Good,41.83555143,-3.290232508,Good,Good
Germany,Wernigerode,44,1,Good,44,Good,0,GO,43,Good,101.1699343,4.933707395,Good,Good
Hungary,Torokbalint,68,1,Good,42,Good,2,GO,68,Moderate,173.2832635,13.07097976,Good,Moderate
Bangladesh,Narayanganj,74,3,Good,44,Good,3,GO,74,Moderate,184.6142633,2.63626702,Good,Moderate
Philippines,Titay,100,1,Good,17,Good,0,GO,100,Unhealthy for Sensitive Groups,255.5493411,1.401471335,Good,Unhealthy for Sensitive Groups
Germany,Konigswinter,55,1,Good,49,Good,0,GO,55,Moderate,132.9503596,0.259407066,Good,Moderate
Portugal,Vila Nova De Gaia,36,1,Good,24,Good,4,GO,36,Good,103.9491056,8.297628844,Good,Good
United States of America,Kilgore,51,1,Good,19,Good,14,,51,Moderate,132.1183041,31.41078869,Good,Moderate
India,Baramati,156,2,Good,,Good,2,GO,156,Unhealthy,388.2076935,1.884579139,Good,Unhealthy
United States of America,Quartz Hill,72,2,Good,28,Good,14,GO,72,Moderate,191.9553776,21.03920988,Good,Moderate
United States of America,Piqua,74,1,Good,,Good,4,GO,74,Moderate,183.1311977,12.29578061,Good,Moderate
Colombia,Bosconia,75,2,Good,9,Good,4,GO,75,Moderate,201.3707978,8.05359309,Good,Moderate
France,Poissy,62,1,Good,19,Good,6,,62,Moderate,150.9267344,13.55073331,Good,Moderate
Japan,Nakanojo,37,1,Good,37,Good,1,GO,29,Good,61.36983186,0.029978897,Good,Good
Philippines,Baguio,28,0,Good,25,Good,1,GO,28,Good,81.72389338,12.47199763,Good,Good
South Africa,Vryheid,92,1001.368367,Good,13,Good,5,GO,92,Moderate,245.3493816,6.840425394,Good,Moderate
Italy,Recanati,77,1,Good,66,Moderate,0,GO,77,Moderate,195.0326272,3.308564163,Moderate,Moderate
Germany,Schwalmstadt,48,1001.368367,Good,25,Good,3,GO,48,Good,135.3591621,6.775412662,Good,Good
Costa Rica,San Diego,56,2,Good,5,Good,11,GO,56,Moderate,139.8762576,13.27525789,Good,Moderate
Mexico,San Juan De Los Lagos,59,1,Good,,Good,0,GO,59,Moderate,152.5314773,-0.096299737,Good,Moderate
Portugal,Aldeia De Paio Pires,32,1,Good,,Good,4,GO,28,Good,79.23458332,10.57490261,Good,Good
Brazil,Itaobim,28,1,Good,4,Good,2,GO,28,Good,76.75211419,13.38513576,Good,Good
United Republic of Tanzania,Kaliua,32,0,Good,14,Good,0,GO,32,Good,101.8417041,2.016428672,Good,Good
Turkey,Kilis,64,1,Good,41,Good,0,,64,Moderate,183.4895609,1.910696495,Good,Moderate
Bulgaria,Gabrovo,46,1,Good,46,Good,0,GO,42,Good,123.9245594,-1.708469994,Good,Good
Italy,Valenzano,49,1,Good,49,Good,1,GO,37,Good,104.5811214,11.80587674,Good,Good
United States of America,Blue Island,38,2,Good,35,Good,7,GO,38,Good,100.219733,12.4415715,Good,Good
France,La Crau,60,1,Good,30,Good,6,GO,60,Moderate,162.2167206,18.641163,Good,Moderate
Bosnia and Herzegovina,Travnik,73,1,Good,28,Good,1,GO,73,Moderate,185.6426324,1.986201685,Good,Moderate
Poland,Starogard Gdanski,39,1,Good,39,Good,0,GO,22,Good,74.71585083,7.223485842,Good,Good
India,Karad,78,0,Good,24,Good,0,GO,78,Moderate,197.2686786,-2.984099441,Good,Moderate
Nigeria,Amaigbo,112,4,Good,18,Good,3,GO,112,Unhealthy for Sensitive Groups,287.8791962,8.506126204,Good,Unhealthy for Sensitive Groups
Democratic Republic of the Congo,Aketi,66,3,Good,8,Good,0,GO,66,Moderate,164.1083961,7.174078142,Good,Moderate
Bolivia (Plurinational State of),Puerto Quijarro,38,0,Good,15,Good,0,GO,38,Good,78.12619085,3.979928714,Good,Good
India,Wokha,57,1,Good,26,Good,0,GO,57,Moderate,161.2693373,2.392047404,Good,Moderate
India,Periyakulam,121,3,Good,5,Good,8,GO,121,Unhealthy for Sensitive Groups,310.0512309,20.07799498,Good,Unhealthy for Sensitive Groups
Venezuela (Bolivarian Republic of),Porlamar,113,1,Good,20,Good,1,GO,113,Unhealthy for Sensitive Groups,292.5658767,-5.088680735,Good,Unhealthy for Sensitive Groups
United States of America,West Covina,128,4,Good,4,Good,32,GO,128,Unhealthy for Sensitive Groups,319.6894083,67.54986925,Good,Unhealthy for Sensitive Groups
Philippines,Penaranda,78,1,Good,25,Good,1,GO,78,Moderate,214.5560048,7.82067321,Good,Moderate
Ukraine,Kreminna,47,1,Good,37,Good,0,GO,47,Good,129.7727938,3.45819354,Good,Good
Hungary,Balatonfured,64,1,Good,41,Good,0,GO,64,Moderate,163.9564155,-2.991854718,Good,Moderate
Germany,Wetzlar,74,2,Good,33,Good,6,GO,74,Moderate,179.5078523,9.726144429,Good,Moderate
United States of America,Timberlake,59,2,Good,13,Good,9,,59,Moderate,161.604185,16.2816703,Good,Moderate
Germany,Isny,50,1,Good,35,Good,3,GO,50,Good,122.2658507,8.581665049,Good,Good
Austria,Stockerau,38,1,Good,30,Good,1,GO,38,Good,92.7603527,7.180236891,Good,Good
Philippines,Baao,48,0,Good,25,Good,0,GO,48,Good,125.8165522,1.03429787,Good,Good
United States of America,Guaynabo,84,0,Good,23,Good,0,GO,84,Moderate,224.3689919,-1.163096243,Good,Moderate
Myanmar,Dawei,29,0,Good,22,Good,0,GO,29,Good,76.56378681,6.188712736,Good,Good
Germany,Witzenhausen,46,1,Good,27,Good,3,GO,46,Good,114.0851174,13.19672456,Good,Good
Cameroon,Wum,54,1,Good,15,Good,0,GO,54,Moderate,137.4916698,-6.261217835,Good,Moderate
Brazil,Macau,19,0,Good,19,Good,0,GO,15,Good,34.48062525,2.047731588,Good,Good
Slovakia,Cadca,77,1,Good,42,Good,1,GO,77,Moderate,194.0666482,1.657649558,Good,Moderate
Bulgaria,Kjustendil,81,1,Good,45,Good,0,,81,Moderate,194.5227162,-0.46135397,Good,Moderate
Russian Federation,Usinsk,32,1001.368367,Good,31,Good,0,,32,Good,85.14273068,2.488973914,Good,Good
Russian Federation,Dalmatovo,60,1,Good,34,Good,1,,60,Moderate,145.318714,1.303546604,Good,Moderate
Japan,Nakatsu,52,1,Good,52,Moderate,1,GO,34,Good,90.69478116,5.476750135,Moderate,Moderate
Japan,Shibukawa,43,1,Good,43,Good,0,GO,18,Good,40.21734351,0.821176315,Good,Good
India,Barddhaman,160,4,Good,130,Unhealthy for Sensitive Groups,3,GO,160,Unhealthy,398.0528687,12.01254398,Unhealthy for Sensitive Groups,Unhealthy
Germany,Kothen,52,1,Good,38,Good,1,GO,52,Moderate,126.9200483,10.50475211,Good,Moderate
United States of America,Winona,42,1,Good,42,Good,2,GO,36,Good,77.53104309,0.670432294,Good,Good
Iran (Islamic Republic of),Ahvaz,147,2,Good,107,Unhealthy for Sensitive Groups,1,GO,147,Unhealthy for Sensitive Groups,364.7045552,8.930075555,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
United Kingdom of Great Britain and Northern Ireland,Stoke On Trent,50,1,Good,29,Good,4,GO,50,Good,134.664446,9.833080561,Good,Good
United States of America,Ocoee,50,1,Good,20,Good,12,GO,50,Good,131.6549156,28.7542354,Good,Good
China,Heyang,174,9,Good,38,Good,23,GO,174,Unhealthy,438.0365015,47.9765915,Good,Unhealthy
El Salvador,Acajutla,71,2,Good,23,Good,3,GO,71,Moderate,172.420883,3.807264824,Good,Moderate
Denmark,Ringsted,36,0,Good,36,Good,0,GO,16,Good,48.91804005,-10.10108736,Good,Good
Japan,Kasama,56,1,Good,56,Moderate,1,GO,50,Good,124.1455498,12.60063732,Moderate,Moderate
Viet Nam,Hue,61,3,Good,33,Good,0,GO,61,Moderate,146.5370441,-0.800419441,Good,Moderate
Canada,Kitimat,15,1,Good,15,Good,2,GO,9,Good,21.75935286,14.26514312,Good,Good
Hungary,Gyomaendrod,71,1,Good,25,Good,2,,71,Moderate,185.6103907,4.842756006,Good,Moderate
Turkey,Tepecik,59,1,Good,34,Good,1,GO,59,Moderate,155.7707522,0.502361627,Good,Moderate
United States of America,Pittsfield,31,1,Good,31,Good,4,GO,31,Good,96.05805339,5.217199031,Good,Good
Japan,Kawagoe,31,1,Good,31,Good,4,GO,21,Good,69.95821555,7.515018683,Good,Good
India,Bachhraon,173,4,Good,173,Unhealthy,2,,155,Unhealthy,400.2078315,10.261422,Unhealthy,Unhealthy
Hungary,Batonyterenye,95,1,Good,40,Good,2,GO,95,Moderate,245.5634753,5.737669048,Good,Moderate
Germany,Langenau,47,1,Good,36,Good,3,GO,47,Good,137.577077,12.81694759,Good,Good
Switzerland,Schlieren,58,1,Good,52,Moderate,0,GO,58,Moderate,160.6969168,-6.722111396,Moderate,Moderate
Germany,Norvenich,56,1,Good,33,Good,5,GO,56,Moderate,140.3656709,6.9727847,Good,Moderate
China,Aksu,154,1,Good,46,Good,0,GO,154,Unhealthy,389.8488641,1.785959109,Good,Unhealthy
France,Mahina,25,0,Good,25,Good,0,GO,14,Good,28.46739827,8.587830787,Good,Good
France,Dreux,39,1,Good,18,Good,3,GO,39,Good,98.31751085,2.023938406,Good,Good
Brazil,Alta Floresta,21,1,Good,13,Good,0,GO,21,Good,65.26921855,1.853456894,Good,Good
South Africa,Warrenton,33,0,Good,21,Good,1,GO,33,Good,97.66287943,-3.126454544,Good,Good
Brazil,Vicencia,25,0,Good,25,Good,0,GO,19,Good,31.0856912,-3.858726508,Good,Good
Mexico,Obregon,65,1,Good,19,Good,1,GO,65,Moderate,178.7096702,7.37699309,Good,Moderate
Italy,Ciro Marina,61,1,Good,49,Good,1,GO,61,Moderate,158.2980148,-1.865980065,Good,Moderate
United States of America,Alliance,43,1,Good,40,Good,3,GO,43,Good,120.741029,6.703148459,Good,Good
China,Jiaonan,106,3,Good,98,Moderate,4,,106,Unhealthy for Sensitive Groups,272.9593324,12.69472457,Moderate,Unhealthy for Sensitive Groups
India,Alangulam,57,0,Good,24,Good,0,GO,57,Moderate,158.2684814,4.620535016,Good,Moderate
Switzerland,Lugano,62,1,Good,33,Good,1,GO,62,Moderate,158.8351165,1.778150953,Good,Moderate
China,Qianan,96,1001.368367,Good,82,Moderate,0,GO,96,Moderate,255.7593412,6.209115835,Moderate,Moderate
Poland,Braniewo,33,0,Good,33,Good,0,GO,33,Good,76.27098844,12.57188134,Good,Good
China,Dafeng,127,3,Good,127,Unhealthy for Sensitive Groups,3,GO,116,Unhealthy for Sensitive Groups,282.6756876,10.16744832,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Serbia,Novi Sad,118,1,Good,42,Good,1,GO,118,Unhealthy for Sensitive Groups,296.7346415,3.740495151,Good,Unhealthy for Sensitive Groups
Russian Federation,Voronezh,52,1,Good,28,Good,3,GO,52,Moderate,152.1352973,7.767070996,Good,Moderate
Sweden,Sala,34,1,Good,34,Good,0,GO,14,Good,49.49257302,3.002413213,Good,Good
United States of America,Paris,72,1,Good,24,Good,3,GO,72,Moderate,183.4462701,0.111220925,Good,Moderate
Switzerland,Freienbach,41,1,Good,27,Good,2,GO,41,Good,101.917224,7.798790148,Good,Good
India,Someshwar,68,0,Good,22,Good,0,GO,68,Moderate,181.1216193,4.818202519,Good,Moderate
Guinea,Mamou,32,1,Good,,Good,0,GO,32,Good,74.46069152,-1.085569953,Good,Good
Austria,Feldkirchen,28,0,Good,,Good,0,GO,9,Good,31.70536706,7.001984567,Good,Good
Turkey,Canakkale,49,1,Good,46,Good,0,GO,49,Good,126.0657678,-2.603516698,Good,Good
Nigeria,Damaturu,98,2,Good,46,Good,0,GO,98,Moderate,238.9681562,7.12284082,Good,Moderate
Brazil,Uniao Da Victoria,27,0,Good,12,Good,1,GO,27,Good,82.34296445,3.365992268,Good,Good
United Kingdom of Great Britain and Northern Ireland,Droylsden,38,1,Good,37,Good,1,GO,38,Good,109.5654946,3.175146816,Good,Good
Bangladesh,Sarankhola,66,1001.368367,Good,27,Good,3,GO,66,Moderate,163.5858421,6.1243952,Good,Moderate
Turkey,Bafra,48,1,Good,48,Good,0,GO,14,Good,27.70681979,1.723138315,Good,Good
United States of America,Irmo,68,1,Good,23,Good,4,GO,68,Moderate,187.0702651,1.652289141,Good,Moderate
Colombia,Santuario,88,3,Good,4,Good,7,GO,88,Moderate,222.1831168,13.68193889,Good,Moderate
China,Wuhan,175,6,Good,175,Unhealthy,6,GO,157,Unhealthy,392.5203815,16.68117994,Unhealthy,Unhealthy
Sweden,Vasteras,35,1,Good,35,Good,0,GO,14,Good,53.74135824,-6.044243372,Good,Good
Australia,Mildura,27,0,Good,,Good,0,GO,27,Good,62.87331466,2.560093971,Good,Good
Spain,Aguilar De La Frontera,43,1,Good,7,Good,6,GO,43,Good,101.5312492,10.15876853,Good,Good
Poland,Pisz,34,0,Good,34,Good,0,GO,33,Good,90.39669812,13.68501156,Good,Good
United States of America,Hot Springs,72,2,Good,17,Good,7,GO,72,Moderate,192.7169871,8.731505946,Good,Moderate
El Salvador,Ahuachapan,62,1,Good,24,Good,1,GO,62,Moderate,156.6983194,7.211436745,Good,Moderate
China,Yancheng,155,3,Good,155,Unhealthy,2,GO,151,Unhealthy,370.1304929,11.68429855,Unhealthy,Unhealthy
Brazil,Ribeiropolis,21,0,Good,21,Good,0,GO,13,Good,40.69120842,-0.886270279,Good,Good
Russian Federation,Zaprudnya,30,1,Good,30,Good,0,GO,18,Good,50.34029586,8.633475915,Good,Good
India,Hunsur,63,1,Good,16,Good,3,GO,63,Moderate,160.5949689,11.53417359,Good,Moderate
Ukraine,Vyshneve,85,1,Good,39,Good,1,GO,85,Moderate,228.828047,6.354209897,Good,Moderate
Colombia,Andalucia,56,1001.368367,Good,,Good,3,GO,56,Moderate,144.0361536,1.251307439,Good,Moderate
Lithuania,Joniskis,39,1001.368367,Good,39,Good,0,GO,29,Good,63.33176472,3.832518239,Good,Good
Brazil,Entre Rios,21,0,Good,15,Good,1,GO,21,Good,33.58921435,9.688527391,Good,Good
Japan,Kamiiso,52,1,Good,39,Good,1,GO,52,Moderate,122.7343942,0.731226783,Good,Moderate
Brazil,Mineiros,26,1,Good,8,Good,0,,26,Good,55.11077744,9.896671262,Good,Good
Poland,Wagrowiec,30,1,Good,,Good,1,GO,28,Good,97.77688926,4.980782035,Good,Good
Italy,Bernalda,59,1,Good,38,Good,3,GO,59,Moderate,147.2546326,6.620928928,Good,Moderate
Germany,Gauting,62,2,Good,27,Good,5,,62,Moderate,156.6486222,-0.822576849,Good,Moderate
Botswana,Kanye,59,1,Good,20,Good,1,GO,59,Moderate,158.9687046,6.520540445,Good,Moderate
Greece,Kastoria,109,1,Good,38,Good,0,GO,109,Unhealthy for Sensitive Groups,263.0679921,-1.67785223,Good,Unhealthy for Sensitive Groups
Brazil,Sao Joao Da Boa Vista,59,1,Good,,Good,4,GO,59,Moderate,159.3233878,9.765500391,Good,Moderate
Romania,Resita,72,1,Good,,Good,0,GO,72,Moderate,201.1222063,-0.581987423,Good,Moderate
Spain,Tarragona,48,1,Good,,Good,0,GO,48,Good,119.8950144,3.654144826,Good,Good
United States of America,American Canyon,33,1,Good,33,Good,5,,29,Good,79.30871111,21.37461251,Good,Good
United States of America,Pennsauken,48,1,Good,48,Good,1,GO,40,Good,110.858173,3.644184984,Good,Good
Germany,Breisach,68,1,Good,,Moderate,0,GO,68,Moderate,163.2096021,-3.669095969,Moderate,Moderate
Argentina,Salta,43,1,Good,0,Good,8,GO,43,Good,109.4398605,24.9897368,Good,Good
United States of America,Forrest City,58,1,Good,26,Good,2,GO,58,Moderate,168.7329778,16.02035637,Good,Moderate
India,Sitamarhi,141,4,Good,43,Good,6,GO,141,Unhealthy for Sensitive Groups,353.6182318,8.647047398,Good,Unhealthy for Sensitive Groups
Iran (Islamic Republic of),Ahar,50,1,Good,39,Good,0,GO,50,Good,146.7974738,7.789899868,Good,Good
Malaysia,Bukit Bakri,77,1,Good,32,Good,0,GO,77,Moderate,192.3573103,0.326901477,Good,Moderate
Czechia,Mlada Boleslav,36,1,Good,27,Good,2,,36,Good,100.2159516,10.08013673,Good,Good
India,Gandhidham,166,0,Good,32,Good,0,,166,Unhealthy,420.0179487,-1.925135001,Good,Unhealthy
Brazil,Joacaba,21,1,Good,10,Good,0,GO,21,Good,77.51922459,-3.019847535,Good,Good
Mexico,Escarcega,101,2,Good,15,Good,2,GO,101,Unhealthy for Sensitive Groups,233.2573513,1.621759626,Good,Unhealthy for Sensitive Groups
Armenia,Vanadzor,30,1,Good,27,Good,0,GO,30,Good,62.03835341,0.826133168,Good,Good
Belarus,Lyuban,52,1,Good,,Good,1,GO,52,Moderate,124.7876718,4.20297912,Good,Moderate
United States of America,Warrensville Heights,40,1,Good,40,Good,3,GO,39,Good,109.0984961,11.1672605,Good,Good
Mali,Kolokani,81,1,Good,21,Good,1,GO,81,Moderate,202.6432126,3.664914162,Good,Moderate
Madagascar,Betioky,22,0,Good,22,Good,0,GO,10,Good,33.64711773,7.671162234,Good,Good
Philippines,Balagtas,71,1,Good,24,Good,1,GO,71,Moderate,183.4898649,4.168910854,Good,Moderate
Iran (Islamic Republic of),Ravar,164,1,Good,42,Good,0,GO,164,Unhealthy,406.8094736,10.70225911,Good,Unhealthy
United States of America,Baker,71,1,Good,13,Good,7,,71,Moderate,200.4872502,10.76298364,Good,Moderate
Cyprus,Aradippou,45,1,Good,45,Good,0,GO,21,Good,57.05638544,-5.446221255,Good,Good
Indonesia,Karang Tengah,105,2,Good,59,Moderate,1,GO,105,Unhealthy for Sensitive Groups,267.1687303,5.375858519,Moderate,Unhealthy for Sensitive Groups
Russian Federation,Sochi,45,1,Good,45,Good,0,GO,23,Good,60.6266969,-2.989317746,Good,Good
United States of America,Nogales,44,1,Good,10,Good,5,GO,44,Good,119.375062,10.68471176,Good,Good
Cuba,Matanzas,88,1,Good,24,Good,1,GO,88,Moderate,228.3300213,16.65848093,Good,Moderate
India,Yavatmal,153,1,Good,31,Good,0,GO,153,Unhealthy,399.3917278,4.991991141,Good,Unhealthy
Turkey,Bursa,54,1,Good,43,Good,0,GO,54,Moderate,148.2278278,0.55975264,Good,Moderate
Ethiopia,Debre Tabor,53,1,Good,,Good,0,GO,53,Moderate,135.0282839,2.372875955,Good,Moderate
India,Haora,197,9,Good,10,Good,20,GO,197,Unhealthy,495.553027,28.05934093,Good,Unhealthy
Cuba,Chambas,47,1,Good,,Good,0,GO,47,Good,115.640655,-3.929427869,Good,Good
India,Naregal,45,1,Good,26,Good,2,,45,Good,120.2279339,3.95201161,Good,Good
Romania,Aiud,58,1,Good,34,Good,1,GO,58,Moderate,149.1163704,0.949942507,Good,Moderate
Spain,Almoradi,48,1,Good,23,Good,3,GO,48,Good,142.6545424,8.796188771,Good,Good
India,Habra,208,4,Good,94,Moderate,4,GO,208,Very Unhealthy,532.8135812,14.64716399,Moderate,Very Unhealthy
Colombia,Guarne,101,3,Good,,Good,8,,101,Unhealthy for Sensitive Groups,262.7479258,17.50204608,Good,Unhealthy for Sensitive Groups
India,Badvel,101,0,Good,33,Good,0,GO,101,Unhealthy for Sensitive Groups,257.1355268,4.933419071,Good,Unhealthy for Sensitive Groups
Russian Federation,Chernyshevsk,33,1,Good,33,Good,0,GO,9,Good,28.63140457,5.373502076,Good,Good
South Africa,Thabazimbi,84,5,Good,,Good,4,,84,Moderate,206.2230349,15.14999611,Good,Moderate
India,Ahmadabad,158,1,Good,40,Good,0,GO,158,Unhealthy,396.4579024,3.782709914,Good,Unhealthy
Italy,Travagliato,62,1,Good,36,Good,3,GO,62,Moderate,154.7097535,13.14244635,Good,Moderate
Guatemala,Santa Lucia Milpas Altas,90,3,Good,7,Good,11,GO,90,Moderate,239.694572,24.29132354,Good,Moderate
Russian Federation,Naryan Mar,26,1,Good,26,Good,0,GO,11,Good,29.4690728,7.78660949,Good,Good
Mexico,Paso Del Macho,150,1001.368367,Good,1,Good,16,GO,150,Unhealthy,386.2558459,27.80759887,Good,Unhealthy
Philippines,San Nicolas,62,1,Good,,Good,1,GO,62,Moderate,158.8114752,0.71743973,Good,Moderate
Serbia,Sid,62,1,Good,45,Good,1,GO,62,Moderate,159.9753215,7.691062412,Good,Moderate
,Caibarien,88,1,Good,22,Good,1,GO,88,Moderate,228.4980002,0.613940876,Good,Moderate
Brazil,Camocim,33,0,Good,18,Good,0,GO,33,Good,88.92621393,2.365893573,Good,Good
Brazil,Missao Velha,37,1,Good,9,Good,3,GO,37,Good,83.57487433,11.80529758,Good,Good
United States of America,Mayfield,70,1,Good,50,Good,1,GO,70,Moderate,198.9514861,1.325969733,Good,Moderate
Russian Federation,Borovskiy,42,1,Good,29,Good,1,GO,42,Good,104.1683428,-1.475557675,Good,Good
Uzbekistan,Mangit,172,1,Good,36,Good,0,GO,172,Unhealthy,447.2379362,4.226881835,Good,Unhealthy
India,Ranchi,160,3,Good,43,Good,5,GO,160,Unhealthy,393.1504806,8.381332463,Good,Unhealthy
India,Surat,119,1,Good,28,Good,0,GO,119,Unhealthy for Sensitive Groups,320.6289022,-11.31820316,Good,Unhealthy for Sensitive Groups
Brazil,Brumado,16,0,Good,10,Good,1,GO,16,Good,49.33463674,2.361632491,Good,Good
Hungary,Salgotarjan,56,1,Good,32,Good,2,GO,56,Moderate,142.4031314,5.194805648,Good,Moderate
United States of America,Zephyrhills,98,1,Good,98,Moderate,1,GO,15,Good,35.32146786,-3.858900195,Moderate,Moderate
Iran (Islamic Republic of),Bam,178,1,Good,42,Good,0,GO,178,Unhealthy,460.5569425,-1.727946458,Good,Unhealthy
India,Kudal,82,0,Good,22,Good,0,GO,82,Moderate,213.3627789,0.970774818,Good,Moderate
Poland,Milicz,34,1001.368367,Good,31,Good,1,GO,34,Good,67.50567546,2.2988037,Good,Good
Russian Federation,Krasnouralsk,25,1,Good,25,Good,0,GO,20,Good,68.04940204,1.720762936,Good,Good
Nigeria,Aba,196,13,Good,6,Good,13,GO,196,Unhealthy,497.8203422,23.13029226,Good,Unhealthy
Germany,Kamen,49,1,Good,33,Good,2,GO,49,Good,128.3409439,12.50859862,Good,Good
Austria,Sankt Andra,80,1,Good,32,Good,1,GO,80,Moderate,196.1267054,9.963921361,Good,Moderate
